,SiteName,SiteId,County,TWD67Lon,TWD67Lat
1,中坑,C0F0C0,臺中市,120.8952,24.2503
2,東引,C0W170,連江縣,120.4753,26.3605
3,蕃薯寮,C0Z270,花蓮縣,121.532,23.7402
4,豐裡,C0Z260,花蓮縣,121.4995,23.8439
5,萬榮,C0Z200,花蓮縣,121.412,23.711
6,覽勝橋,01AD90,新北市,121.5432,24.8641
7,富世,C0Z190,花蓮縣,121.6215,24.1492
8,新城,C0Z180,花蓮縣,121.5964,24.0413
9,卓溪,C0Z170,花蓮縣,121.2952,23.346
10,鳳林,C0Z160,花蓮縣,121.4453,23.7479
11,吉安光華,C0Z150,花蓮縣,121.587,23.9327
12,銅門,C1Z130,花蓮縣,121.4847,23.9675
13,壽豐,C1Z120,花蓮縣,121.4999,23.8727
14,三棧,C1Z110,花蓮縣,121.5968,24.1174
15,烏坵,C0W160,金門縣,119.4413,24.9961
16,金寧,C0W150,金門縣,118.3208,24.4593
17,金沙,C0W140,金門縣,118.4006,24.4899
18,金峰鄉公,81S920,臺東縣,120.9529,22.6004
19,東里國中,81T910,花蓮縣,121.295,23.2651
20,卓溪國小,81T900,花蓮縣,121.2952,23.3476
21,瑞北國小,81T890,花蓮縣,121.368,23.5274
22,石梯坪,81T880,花蓮縣,121.5033,23.4849
23,東興部落,81T870,花蓮縣,121.5228,23.637
24,山興分校,81T860,花蓮縣,121.4894,23.7296
25,溪口國小,81T850,花蓮縣,121.4652,23.8215
26,永樂國小,81U910,宜蘭縣,121.836,24.5777
27,大溪國小,81U900,宜蘭縣,121.8788,24.9374
28,大里國小,81U890,宜蘭縣,121.9179,24.9721
29,內獅國小,81R660,屏東縣,120.6367,22.3068
30,那瑪夏國,81V830,高雄市,120.6886,23.2422
31,沄水國小,81M690,嘉義縣,120.5225,23.3832
32,太和村,81M680,嘉義縣,120.7008,23.5373
33,車籠埔,81H980,南投縣,120.7027,23.7954
34,永興國小,81H970,南投縣,120.8556,23.7866
35,北港國小,81H960,南投縣,120.9032,24.0584
